정류소ID,정류소번호,정류소명,X좌표,Y좌표
100900050,01561,아름다운실버,126.965463701,37.6120100581
100900049,01562,독립문초등학교,126.9607207234,37.5738474794
100900206,01563,종로센트레빌아파트,127.0156926979,37.5803534405
100900048,01564,가회동주민센터,126.9848497239,37.5799390098
100900097,01565,문방구,126.9579797248,37.6062686142
100900096,01566,원남로터리,126.997511497,37.5762373738
100900095,01567,보현산신각,126.9657790521,37.6134825236
100900094,01568,천사유치원,126.9618603707,37.5746480221
100900093,01569,쌍용아파트입구.창신역,127.0149635738,37.580511226
100900092,01570,아름다운가게.정독도서관,126.9850220301,37.5788991733
100900091,01571,산정빌라,126.9574922002,37.6051519935
100900090,01572,이화사거리,127.0020107348,37.5764698644
100900089,01573,혜원사,126.9676873462,37.6143102577
100900088,01574,무악현대아파트후문,126.962001046,37.5763060751
100900086,01576,헌법재판소.안국역,126.9856755706,37.5775584314
100900184,01577,청구빌라,126.9569839726,37.6046102563
100900085,01578,서울대어린이병원응급실.갑상선센터,126.9995029662,37.5781188768
100900084,01579,서울사대초.중교,127.0024794898,37.5775673842
100900083,01580,화인빌라,126.9685386165,37.6129345305
100900082,01581,넓은마당,126.9628880463,37.5752728058
100900207,01582,창신초등학교,127.0153885503,37.5769032044
100900081,01583,수운회관,126.986517218,37.5751598262
100900080,01584,상명대후문,126.9573354115,37.6040255786
100900194,01585,혜화역2번출구,127.002256557,37.5811483226
100900079,01586,힐탑,126.9690205751,37.6116055569
100900187,01587,신학대학교총회본부,126.9634445669,37.5739763092
100900078,01589,낙원상가,126.9872918609,37.5736776169
100900077,01590,완성빌라,126.9575011241,37.6034020863
100900076,01591,서울대병원장례식장,126.9974309648,37.5805553988
100900075,01592,혜화역1번출구,127.0019407215,37.5834542178
100900074,01593,파라과이대사관,126.9699479367,37.6124059606
100900073,01594,한국사회과학자료원,126.9641432573,37.5736332076
100900205,01595,동묘역,127.0142453819,37.5726943506
100900121,01596,금강제화,126.9874384317,37.5705445369
100900120,01597,경진빌라,126.9578303612,37.6020037175
100900198,01598,성균관대학교앞,126.9993659265,37.5833082555
100900176,01599,광화문한국통신.KT,126.977317218,37.5719018726
100900119,01607,EN갤러리,126.9707007997,37.6134063548
100900118,01667,종로문화센터,126.9646261961,37.5746470811
100900117,01682,동대문역.2번출구,127.0117218002,37.5720494465
100900116,01683,종각역YMCA,126.9850714936,37.5703393522
100900115,01684,서교빌라,126.9571553655,37.601989057
100900177,01685,적선동.경복궁역,126.9724733176,37.5770722054
100900195,01686,연건동,127.0007449647,37.5761256624
100900199,01697,성대입구,126.998853007,37.5832668015
100900114,01698,무애사,126.9718458037,37.6139004282
100900113,01699,단군성전앞,126.9653175119,37.5755600915
100900192,01702,동대문종합시장,127.0061400046,37.571176058
100900112,01714,상명초등학교,126.956715418,37.6009238115
100900179,01720,법련사,126.9796650539,37.5765879752
